away,cross,home,ones,twos,year
France,2.81,Italy,2.54,3.24,2006
Portugal,3.41,Germany,1.88,4.30,2006
France,2.86,Portugal,3.92,2.20,2006
Italy,2.89,Germany,2.46,3.27,2006
France,3.41,Brazil,1.75,4.99,2006
Portugal,2.99,England,2.10,4.00,2006
Ukraine,3.48,Italy,1.57,6.94,2006
Argentina,3.07,Germany,2.50,2.99,2006
France,3.01,Spain,2.37,3.21,2006
Ghana,5.41,Brazil,1.27,10.34,2006
Ukraine,3.11,Switzerland,2.37,3.17,2006
Australia,3.82,Italy,1.52,6.95,2006
Netherlands,3.07,Portugal,3.12,2.44,2006
Ecuador,3.86,England,1.49,7.37,2006
Mexico,4.27,Argentina,1.36,10.18,2006
Sweden,3.66,Germany,1.61,5.89,2006
South Korea,2.97,Switzerland,1.97,4.43,2006
France,7.66,Togo,16.30,1.13,2006
Spain,7.06,Saudi Arabia,17.03,1.15,2006
Tunisia,3.71,Ukraine,1.59,6.03,2006
Australia,3.30,Croatia,2.20,3.10,2006
Brazil,6.00,Japan,12.00,1.20,2006
Italy,3.15,Czech Republic,3.95,1.95,2006
Switzerland,3.40,France,1.65,5.80,2006
Japan,3.15,Australia,2.50,2.80,2006
Iran,3.65,Mexico,1.56,6.87,2006
Netherlands,3.22,Serbia and Montenegro,4.15,1.94,2006
Ivory Coast,3.59,Argentina,1.60,6.43,2006
Sweden,5.15,Trinidad & Tobago,12.34,1.29,2006
Paraguay,3.42,England,1.66,5.85,2006
Ecuador,3.25,Poland,1.90,3.75,2006
Costa Rica,5.17,Germany,1.25,12.23,2006
Norway,3.87,Czech Republic,1.42,7.88,2006
Spain,3.29,Slovakia,3.34,2.11,2006
Switzerland,3.44,Turkey,1.67,5.00,2006
Trinidad & Tobago,3.15,Bahrain,2.10,3.35,2006
Uruguay,3.24,Australia,2.15,3.14,2006
Bolivia,3.50,Peru,1.60,5.00,2006
Venezuela,6.00,Brazil,1.14,9.99,2006
Colombia,3.50,Paraguay,2.40,2.45,2006
Costa Rica,3.61,Guatemala,1.57,4.93,2006
Mexico,3.45,Trinidad & Tobago,2.55,2.31,2006
Panama,5.33,USA,1.18,9.99,2006
Uzbekistan,3.13,Bahrain,2.09,3.33,2006
Poland,3.54,England,1.56,5.85,2006
Cyprus,9.50,France,1.03,9.99,2006
Switzerland,3.21,Ireland,2.10,3.24,2006
Azerbaijan,4.77,Wales,1.26,9.74,2006
Belgium,3.14,Lithuania,2.78,2.32,2006
Bosnia & Herzegovina,3.86,Serbia and Montenegro,1.46,6.14,2006
France,2.81,Italy,2.54,3.24,2006
Portugal,3.41,Germany,1.88,4.30,2006
France,2.86,Portugal,3.92,2.20,2006
Italy,2.89,Germany,2.46,3.27,2006
France,3.41,Brazil,1.75,4.99,2006
Portugal,2.99,England,2.10,4.00,2006
